t,accelerometer_x,accelerometer_y,accelerometer_z,text_time,text_alarm,text_battery_level,text_water_in_cup,text_water_to_drink,not_data_transfering,not_bluetooth,text_state
72,-0.633057,9.763947,1.159332,10:20:27,10:53,98%,0ml,2000ml,TRUE,FALSE,SLEEPING
73,-0.621093666666667,9.77431233333333,1.10189833333333,10:20:27,10:53,98%,0ml,2000ml,TRUE,FALSE,SLEEPING
74,-0.6701505,9.771118,1.064804,10:20:27,10:53,98%,0ml,1800ml,TRUE,FALSE,SLEEPING
75,-0.623482,9.780693,1.1150585,10:20:27,10:53,98%,0ml,1801ml,TRUE,FALSE,SLEEPING
76,-0.6234815,9.7830885,1.083946,10:20:27,10:53,98%,0ml,1802ml,TRUE,FALSE,SLEEPING
77,-0.6665575,9.7627485,1.0205385,10:20:27,10:53,98%,0ml,1803ml,TRUE,FALSE,SLEEPING
78,-0.633057,9.775902,1.101898,10:20:27,10:53,98%,0ml,1804ml,TRUE,FALSE,SLEEPING
79,-0.61631,9.784279,0.92363,10:20:27,10:53,98%,0ml,1805ml,TRUE,FALSE,SLEEPING
80,-0.6318585,9.7699205,1.000206,10:20:27,10:53,98%,0ml,1806ml,TRUE,FALSE,SLEEPING
81,-0.6342545,9.774704,1.106682,10:20:27,10:53,98%,0ml,1807ml,TRUE,FALSE,SLEEPING
82,-0.648613,9.7782975,1.025322,10:20:27,10:53,98%,0ml,1808ml,TRUE,FALSE,SLEEPING
83,-0.6426315,9.7794955,1.063614,10:20:27,10:53,98%,0ml,1809ml,TRUE,FALSE,SLEEPING
84,-0.662964,9.7771,1.055237,10:20:27,10:53,98%,0ml,1810ml,TRUE,FALSE,SLEEPING
85,-0.651001,9.7747115,1.0468595,10:20:27,10:53,98%,0ml,1811ml,TRUE,FALSE,SLEEPING
86,-0.629471,9.7854765,1.0755765,10:20:27,10:53,98%,0ml,1812ml,TRUE,FALSE,SLEEPING
87,-0.6533965,9.7782975,1.002594,10:20:27,10:53,98%,0ml,1813ml,TRUE,FALSE,SLEEPING
88,-0.635452,9.7890625,0.941574,10:20:27,10:53,98%,0ml,1814ml,TRUE,FALSE,SLEEPING
89,-0.671341,9.7771,0.999008,10:20:28,10:53,98%,0ml,1815ml,TRUE,FALSE,SLEEPING
90,-0.645823333333333,9.785482,1.05244966666667,10:20:28,10:53,98%,0ml,1816ml,TRUE,FALSE,SLEEPING
91,-0.6055375,9.7794955,1.039688,10:20:28,10:53,98%,0ml,1817ml,TRUE,FALSE,SLEEPING
92,-0.6258775,9.781891,1.0983045,10:20:28,10:53,98%,0ml,1818ml,TRUE,FALSE,SLEEPING
93,-0.654587,9.7699205,1.094719,10:20:28,10:53,98%,0ml,1819ml,TRUE,FALSE,SLEEPING
94,-0.6438295,9.780693,1.085144,10:20:28,10:53,98%,0ml,1820ml,TRUE,FALSE,SLEEPING
95,-0.63784,9.7782975,1.022934,10:20:28,10:53,98%,0ml,1821ml,TRUE,FALSE,SLEEPING
96,-0.640236,9.783081,0.9678955,10:20:28,10:53,98%,0ml,1822ml,TRUE,FALSE,SLEEPING
97,-0.654594,9.7866745,1.028923,10:20:28,10:53,98%,0ml,1823ml,TRUE,FALSE,SLEEPING
98,-0.6007535,9.78907,1.074379,10:20:28,10:53,98%,0ml,1824ml,TRUE,FALSE,SLEEPING
99,-0.6486055,9.7759015,1.1270215,10:20:28,10:53,98%,0ml,1825ml,TRUE,FALSE,SLEEPING
100,-0.6318585,9.7711185,1.0683975,10:20:28,10:53,98%,0ml,1826ml,TRUE,FALSE,SLEEPING
101,-0.6342545,9.778297,0.9738845,10:20:28,10:53,98%,0ml,1827ml,TRUE,FALSE,SLEEPING
102,-0.6521985,9.791458,1.021736,10:20:28,10:53,98%,0ml,1828ml,TRUE,FALSE,SLEEPING
103,-0.6258775,9.780693,1.134201,10:20:28,10:53,98%,0ml,1829ml,TRUE,FALSE,SLEEPING
104,-0.629463,9.7782975,0.999008,10:20:28,10:53,98%,0ml,1830ml,TRUE,FALSE,SLEEPING
105,-0.6545945,9.7663345,1.054047,10:20:28,10:53,98%,0ml,1831ml,TRUE,FALSE,SLEEPING
106,-0.617905,9.78388466666667,1.03489666666667,10:20:28,10:53,98%,0ml,1832ml,TRUE,FALSE,SLEEPING
107,-0.6402355,9.781891,1.063614,10:20:28,10:53,98%,0ml,1833ml,TRUE,FALSE,SLEEPING
108,-0.598358,9.7878725,1.1138685,10:20:28,10:53,98%,0ml,1834ml,TRUE,FALSE,SLEEPING
109,-0.6713405,9.7711255,0.972687,10:20:28,10:53,98%,0ml,1835ml,TRUE,FALSE,SLEEPING
110,-0.640236,9.7866745,1.0564345,10:20:28,10:53,98%,0ml,1836ml,TRUE,FALSE,SLEEPING
111,-0.6199035,9.7866745,1.131813,10:20:28,10:53,98%,0ml,1837ml,TRUE,FALSE,SLEEPING
112,-0.642624,9.7770995,1.0995025,10:20:28,10:53,98%,0ml,1838ml,TRUE,FALSE,SLEEPING
113,-0.639038,9.772316,1.037285,10:20:29,10:53,98%,0ml,1839ml,TRUE,FALSE,SLEEPING
114,-0.606743,9.781883,1.02652,10:20:29,10:53,98%,0ml,1840ml,TRUE,FALSE,SLEEPING
115,-0.6330565,9.773514,1.0564345,10:20:29,10:53,98%,0ml,1841ml,TRUE,FALSE,SLEEPING
116,-0.6521985,9.780693,1.075577,10:20:29,10:53,98%,0ml,1842ml,TRUE,FALSE,SLEEPING
117,-0.628273,9.7866745,1.0731815,10:20:29,10:53,98%,0ml,1843ml,TRUE,FALSE,REFILL MODE
118,-0.6450195,9.792664,0.9942245,10:20:29,10:53,98%,0ml,1844ml,TRUE,FALSE,REFILL MODE
119,-0.622292,9.7759095,1.062416,10:20:29,10:53,98%,0ml,1845ml,TRUE,FALSE,REFILL MODE
120,-0.6342545,9.772316,1.14975,10:20:29,10:53,98%,0ml,1846ml,TRUE,FALSE,REFILL MODE
121,-0.6354525,9.781891,1.037285,10:20:29,10:53,98%,0ml,1847ml,TRUE,FALSE,REFILL MODE
122,-0.6222915,9.780693,1.0253295,10:20:29,10:53,98%,0ml,1848ml,TRUE,FALSE,REFILL MODE
123,-0.625874666666667,9.779892,1.04048166666667,10:20:29,10:53,98%,0ml,1849ml,TRUE,FALSE,REFILL MODE
124,-0.645027,9.778297,1.1090775,10:20:29,10:53,98%,0ml,1850ml,TRUE,FALSE,REFILL MODE
125,-0.607933,9.7830885,0.953537,10:20:29,10:53,98%,0ml,1851ml,TRUE,FALSE,REFILL MODE
126,-0.609131,9.7759095,1.031311,10:20:29,10:53,98%,0ml,1852ml,TRUE,FALSE,REFILL MODE
127,-0.6234895,9.7747115,1.153343,10:20:29,10:53,98%,0ml,1853ml,TRUE,FALSE,REFILL MODE
128,-0.624687,9.773514,1.0480655,10:20:29,10:53,98%,0ml,1854ml,TRUE,FALSE,REFILL MODE
129,-0.6270755,9.784279,1.112671,10:20:29,10:53,98%,0ml,1855ml,TRUE,FALSE,REFILL MODE
130,-0.607933,9.7747115,1.0277175,10:20:29,10:53,98%,0ml,1856ml,TRUE,FALSE,REFILL MODE
131,-0.603149,9.771118,0.9846495,10:20:29,10:53,98%,0ml,1857ml,TRUE,FALSE,REFILL MODE
132,-0.609131,9.780693,1.0456615,10:20:29,10:53,98%,0ml,1858ml,TRUE,FALSE,REFILL MODE
133,-0.648613,9.76873,1.0887375,10:20:29,10:53,98%,0ml,1859ml,TRUE,FALSE,REFILL MODE
134,-0.607933,9.7902605,1.070793,10:20:29,10:53,98%,0ml,1860ml,TRUE,FALSE,REFILL MODE
135,-0.6354525,9.7770995,1.0432735,10:20:29,10:53,98%,0ml,1861ml,TRUE,FALSE,REFILL MODE
136,-0.6234895,9.7771,1.0624165,10:20:29,10:53,98%,0ml,1862ml,TRUE,FALSE,REFILL MODE
137,-0.639038,9.7759095,0.955933,10:20:30,10:53,98%,0ml,1863ml,TRUE,FALSE,REFILL MODE
138,-0.6199035,9.7878725,0.9344025,10:20:30,10:53,98%,0ml,1864ml,TRUE,FALSE,REFILL MODE
139,-0.648613,9.777107,1.010971,10:20:30,10:53,98%,0ml,1865ml,TRUE,FALSE,REFILL MODE
140,-0.623484333333333,9.78867066666667,1.04926066666667,10:20:30,10:53,98%,0ml,1866ml,TRUE,FALSE,REFILL MODE
141,-0.6438215,9.7747115,0.948761,10:20:30,10:53,98%,0ml,1867ml,TRUE,FALSE,REFILL MODE
142,-0.6617735,9.7711255,0.9475635,10:20:30,10:53,98%,0ml,1868ml,TRUE,FALSE,REFILL MODE
143,-0.6222835,9.7759095,1.063614,10:20:30,10:53,98%,0ml,1869ml,TRUE,FALSE,REFILL MODE
144,-0.6019515,9.7998355,1.0683975,10:20:30,10:53,98%,0ml,1870ml,TRUE,FALSE,REFILL MODE
145,-0.6318585,9.7866745,1.015755,10:20:30,10:53,98%,0ml,1871ml,TRUE,FALSE,REFILL MODE
146,-0.645027,9.7890625,1.0576325,10:20:30,10:53,98%,0ml,1872ml,TRUE,FALSE,REFILL MODE
147,-0.645027,9.779503,1.073189,10:20:30,10:53,98%,0ml,1873ml,TRUE,FALSE,REFILL MODE
148,-0.619896,9.7759095,1.030113,10:20:30,10:53,98%,0ml,1874ml,TRUE,FALSE,REFILL MODE
149,-0.667755,9.761551,1.0683975,10:20:30,10:53,98%,0ml,1875ml,TRUE,FALSE,REFILL MODE
150,-0.6234895,9.775909,1.038483,10:20:30,10:53,98%,0ml,1876ml,TRUE,FALSE,REFILL MODE
151,-0.6426315,9.790268,1.0265275,10:20:30,10:53,98%,0ml,1877ml,TRUE,FALSE,REFILL MODE
152,-0.647415,9.7687305,1.0468675,10:20:30,10:53,98%,0ml,1878ml,TRUE,FALSE,REFILL MODE
153,-0.652199,9.781891,1.0923235,10:20:30,10:53,98%,0ml,1879ml,TRUE,FALSE,REFILL MODE
154,-0.6785205,9.7723235,1.042076,10:20:30,10:53,98%,0ml,1880ml,TRUE,FALSE,REFILL MODE
155,-0.674927,9.7699205,0.9499515,10:20:30,10:53,98%,0ml,1881ml,TRUE,FALSE,REFILL MODE
156,-0.633855,9.78627533333333,1.038086,10:20:30,10:53,98%,0ml,1882ml,TRUE,FALSE,REFILL MODE
157,-0.63665,9.790268,1.1078795,10:20:30,10:53,98%,0ml,1883ml,TRUE,FALSE,REFILL MODE
158,-0.640236,9.772316,1.0408785,10:20:30,10:53,98%,0ml,1884ml,TRUE,FALSE,REFILL MODE
159,-0.676132,9.7830885,0.911667,10:20:30,10:53,98%,0ml,1885ml,TRUE,FALSE,REFILL MODE
160,-0.621094,9.7806935,0.920044,10:20:30,10:53,98%,0ml,1886ml,TRUE,FALSE,REFILL MODE
161,-0.6426235,9.798645,1.104286,10:20:31,10:53,98%,0ml,1887ml,TRUE,FALSE,REFILL MODE
162,-0.648613,9.7771075,1.0779725,10:20:31,10:53,98%,0ml,1888ml,TRUE,FALSE,REFILL MODE
163,-0.6115265,9.778305,0.890137,10:20:31,10:53,98%,0ml,1889ml,TRUE,FALSE,REFILL MODE
164,-0.65818,9.773514,1.0085755,10:20:31,10:53,98%,0ml,1890ml,TRUE,FALSE,REFILL MODE
165,-0.662964,9.7711255,1.0887375,10:20:31,10:53,98%,0ml,1891ml,TRUE,FALSE,REFILL MODE
166,-0.5935745,9.793854,1.0672,10:20:31,10:53,98%,0ml,1892ml,TRUE,FALSE,REFILL MODE
167,-0.680916,9.7735135,0.912865,10:20:31,10:53,98%,0ml,1893ml,TRUE,FALSE,REFILL MODE
168,-0.630669,9.7771,1.052841,10:20:31,10:53,98%,0ml,1894ml,TRUE,FALSE,REFILL MODE
169,-0.5947725,9.7890625,1.0959095,10:20:31,10:53,98%,0ml,1895ml,TRUE,FALSE,REFILL MODE
170,-0.652199,9.7794955,0.957138,10:20:31,10:53,98%,0ml,1896ml,TRUE,FALSE,REFILL MODE
171,-0.6665575,9.790268,0.951149,10:20:31,10:53,98%,0ml,1897ml,TRUE,FALSE,REFILL MODE
172,-0.628273,9.7782975,1.042076,10:20:31,10:53,98%,0ml,1898ml,TRUE,FALSE,REFILL MODE
173,-0.62588,9.78387966666667,1.04367566666667,10:20:31,10:53,98%,0ml,1899ml,TRUE,FALSE,REFILL MODE
174,-0.63665,9.777107,0.9655075,10:20:31,10:53,98%,0ml,1900ml,TRUE,FALSE,REFILL MODE
175,-0.630661,9.7854765,0.9798585,10:20:31,10:53,98%,0ml,1901ml,TRUE,FALSE,REFILL MODE
176,-0.610329,9.7759095,1.055237,10:20:31,10:53,98%,0ml,1902ml,TRUE,FALSE,REFILL MODE
177,-0.6402355,9.7782975,1.1007005,10:20:31,10:53,98%,0ml,1903ml,TRUE,FALSE,REFILL MODE
178,-0.619896,9.7842785,0.960724,10:20:31,10:53,98%,0ml,1904ml,TRUE,FALSE,REFILL MODE
179,-0.641434,9.778305,0.899704,10:20:31,10:53,98%,0ml,1905ml,TRUE,FALSE,REFILL MODE
180,-0.691681,9.7699205,1.0899355,10:20:31,10:53,98%,0ml,1906ml,TRUE,FALSE,REFILL MODE
181,-0.5588835,9.7938535,1.1270215,10:20:31,10:53,98%,0ml,1907ml,FALSE,FALSE,REFILL MODE
182,-0.6318585,9.7699205,0.9152525,10:20:31,10:53,98%,0ml,1908ml,FALSE,FALSE,REFILL MODE
183,-0.651001,9.785477,1.007385,10:20:31,10:53,98%,0ml,1909ml,FALSE,FALSE,REFILL MODE
184,-0.629471,9.7854845,1.0480575,10:20:31,10:53,98%,0ml,1910ml,FALSE,FALSE,REFILL MODE
185,-0.633057,9.7830885,1.0887375,10:20:32,10:53,98%,0ml,1911ml,FALSE,FALSE,REFILL MODE
186,-0.599556,9.787872,1.1042935,10:20:32,10:53,98%,0ml,1912ml,FALSE,FALSE,REFILL MODE
187,-0.6378475,9.778297,0.9463655,10:20:32,10:53,98%,0ml,1913ml,FALSE,FALSE,REFILL MODE
188,-0.5804215,9.7878725,0.9990085,10:20:32,10:53,98%,0ml,1914ml,FALSE,FALSE,REFILL MODE
189,-0.633064,9.780693,1.0576325,10:20:32,10:53,98%,0ml,1915ml,FALSE,FALSE,REFILL MODE
190,-0.63944,9.77191666666667,1.03011566666667,10:20:32,10:53,98%,0ml,1916ml,FALSE,FALSE,REFILL MODE
191,-0.6234895,9.7878645,0.9930265,10:20:32,10:53,98%,0ml,1917ml,FALSE,FALSE,REFILL MODE
192,-0.640236,9.7687305,1.01815,10:20:32,10:53,98%,0ml,1918ml,FALSE,FALSE,REFILL MODE
193,-0.6426315,9.7782975,0.953537,10:20:32,10:53,98%,0ml,1919ml,FALSE,FALSE,REFILL MODE
194,-0.6139145,9.783081,1.076775,10:20:32,10:53,98%,0ml,1920ml,FALSE,FALSE,REFILL MODE
195,-0.607933,9.7878725,1.1246265,10:20:32,10:53,98%,0ml,1921ml,FALSE,FALSE,REFILL MODE
196,-0.630661,9.779495,1.073181,10:20:32,10:53,98%,0ml,1922ml,FALSE,FALSE,REFILL MODE
197,-0.640236,9.779495,0.9571305,10:20:32,10:53,98%,0ml,1923ml,FALSE,FALSE,REFILL MODE
198,-0.651009,9.783081,0.9942245,10:20:32,10:53,98%,0ml,1924ml,FALSE,FALSE,REFILL MODE
199,-0.6521985,9.771118,1.0097735,10:20:32,10:53,98%,0ml,1925ml,FALSE,FALSE,REFILL MODE
200,-0.6378405,9.7890705,1.060028,10:20:32,10:53,98%,0ml,1926ml,FALSE,FALSE,REFILL MODE
201,-0.641434,9.781891,0.9463655,10:20:32,10:53,98%,0ml,1927ml,FALSE,FALSE,REFILL MODE
202,-0.6115185,9.791458,1.085144,10:20:32,10:53,98%,0ml,1928ml,FALSE,FALSE,REFILL MODE
203,-0.648613,9.7747115,1.1569365,10:20:32,10:53,98%,0ml,1929ml,FALSE,FALSE,REFILL MODE
204,-0.627075,9.780693,1.0899355,10:20:32,10:53,98%,0ml,1930ml,FALSE,FALSE,REFILL MODE
205,-0.594772,9.7794955,1.0636135,10:20:32,10:53,98%,0ml,1931ml,FALSE,FALSE,REFILL MODE
206,-0.660176666666667,9.77350833333333,0.991027666666666,10:20:32,10:53,98%,0ml,1932ml,FALSE,FALSE,REFILL MODE
207,-0.658188,9.7866745,1.104294,10:20:32,10:53,98%,0ml,1933ml,FALSE,FALSE,REFILL MODE
208,-0.6222915,9.787872,1.019348,10:20:32,10:53,98%,0ml,1934ml,FALSE,FALSE,REFILL MODE
209,-0.64502,9.7842865,0.982254,10:20:33,10:53,98%,0ml,1935ml,FALSE,FALSE,REFILL MODE
210,-0.6438295,9.7735135,1.136589,10:20:33,10:53,98%,0ml,1936ml,FALSE,FALSE,REFILL MODE
211,-0.6773225,9.7782975,1.1174545,10:20:33,10:53,98%,0ml,1937ml,FALSE,FALSE,REFILL MODE
212,-0.7144165,9.753174,0.948761,10:20:33,10:53,98%,0ml,1938ml,FALSE,FALSE,REFILL MODE
213,-0.6533965,9.780693,1.019348,10:20:33,10:53,98%,0ml,1939ml,FALSE,FALSE,REFILL MODE
214,-0.649811,9.7890625,1.033699,10:20:33,10:53,98%,0ml,1940ml,FALSE,FALSE,REFILL MODE
215,-0.648613,9.780693,1.033699,10:20:33,10:53,98%,0ml,1941ml,FALSE,FALSE,REFILL MODE
216,-0.653397,9.7962495,1.0600205,10:20:33,10:53,98%,0ml,1942ml,FALSE,FALSE,REFILL MODE
217,-0.634254,9.783089,1.0444715,10:20:33,10:53,98%,0ml,1943ml,FALSE,FALSE,REFILL MODE
218,-0.67733,9.778305,0.9236295,10:20:33,10:53,98%,0ml,1944ml,FALSE,FALSE,REFILL MODE
219,-0.6581805,9.7794955,1.048058,10:20:33,10:53,98%,0ml,1945ml,FALSE,FALSE,REFILL MODE
220,-0.6450195,9.7878725,1.116249,10:20:33,10:53,98%,0ml,1946ml,FALSE,FALSE,REFILL MODE
221,-0.623489,9.779503,1.0241245,10:20:33,10:53,98%,0ml,1947ml,FALSE,FALSE,REFILL MODE
222,-0.668945,9.7842865,0.963112,10:20:33,10:53,98%,0ml,1948ml,FALSE,FALSE,REFILL MODE
223,-0.647415,9.77192166666667,1.04606133333333,10:20:33,10:53,98%,0ml,1949ml,FALSE,FALSE,REFILL MODE
224,-0.6342545,9.783081,1.0492555,10:20:33,10:53,98%,0ml,1950ml,FALSE,FALSE,REFILL MODE
225,-0.668945,9.7866745,1.031311,10:20:33,10:53,98%,0ml,1951ml,FALSE,FALSE,REFILL MODE
226,-0.6342545,9.792656,1.0026015,10:20:33,10:53,98%,0ml,1952ml,FALSE,FALSE,REFILL MODE
227,-0.6294705,9.7770995,1.020538,10:20:33,10:53,98%,0ml,1953ml,FALSE,FALSE,REFILL MODE
228,-0.5409315,9.83094,0.8267215,10:20:33,10:53,98%,0ml,1954ml,FALSE,FALSE,REFILL MODE
229,-0.6868975,9.771118,0.9990005,10:20:33,10:53,98%,0ml,1955ml,FALSE,FALSE,REFILL MODE
230,-0.649811,9.781883,1.153343,10:20:33,10:53,98%,0ml,1956ml,FALSE,FALSE,REFILL MODE
231,-0.6222915,9.7771075,0.928421,10:20:33,10:53,98%,0ml,1957ml,FALSE,FALSE,REFILL MODE
232,-0.782608,9.740013,1.2179565,10:20:33,10:53,98%,0ml,1958ml,FALSE,FALSE,REFILL MODE
233,-0.416504,9.8046185,1.356735,10:20:34,10:53,98%,0ml,1959ml,FALSE,FALSE,REFILL MODE
234,-0.5552905,9.801033,0.815956,10:20:34,10:53,98%,0ml,1960ml,FALSE,FALSE,REFILL MODE
235,-0.5840075,9.7842865,0.765709,10:20:34,10:53,98%,0ml,1961ml,FALSE,FALSE,REFILL MODE
236,-0.6258775,9.778297,0.826721,10:20:34,10:53,98%,0ml,1962ml,FALSE,TRUE,REFILL MODE
